         185984781 function calls (183093451 primitive calls) in 263.878 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1618880    1.360    0.000    2.346    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:893(_read_bytes)
       13    0.000    0.000    2.318    0.178 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:497(cached_download)
    26/13    0.000    0.000    2.313    0.178 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\file_download.py:349(_request_wrapper)
       13    0.000    0.000    2.313    0.178 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\huggingface_hub\utils\_http.py:33(http_backoff)
        1    0.000    0.000    2.215    2.215 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\SentenceTransformer.py:794(_load_sbert_model)
        1    0.000    0.000    2.214    2.214 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:113(load)
        1    0.000    0.000    2.214    2.214 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\sentence_transformers\models\Transformer.py:20(__init__)
        1    0.000    0.000    2.187    2.187 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\models\auto\auto_factory.py:390(from_pretrained)
        1    0.000    0.000    2.143    2.143 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\transformers\modeling_utils.py:1075(from_pretrained)
  7284960    1.972    0.000    2.127    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\tokenize.py:170(add_whitespace)
   563098    2.022    0.000    2.081    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\entity_helper.py:169(check_append)
   405589    1.997    0.000    1.997    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2314    0.011    0.000    1.896    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\threading.py:280(wait)
       10    1.224    0.122    1.881    0.188 C:\Users\Pascal\Desktop\WannaDB\lab23_wannadb_scale-up\wannadb\preprocessing\other_processing.py:39(_call)
     7250    1.875    0.000    1.875    0.000 {method 'acquire' of '_thread.lock' objects}
       14    0.000    0.000    1.724    0.123 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:1303(getresponse)
       14    0.000    0.000    1.724    0.123 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:300(begin)
       14    0.000    0.000    1.719    0.123 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\http\client.py:267(_read_status)
      265    0.000    0.000    1.719    0.006 {method 'readline' of '_io.BufferedReader' objects}
       14    0.000    0.000    1.719    0.123 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\socket.py:690(readinto)
