         183668666 function calls (180777045 primitive calls) in 236.597 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    1.067    0.107 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\bson\__init__.py:941(decode)
       10    1.067    0.107    1.067    0.107 {built-in method bson._cbson._bson_to_dict}
       14    0.000    0.000    1.017    0.073 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connectionpool.py:1034(_validate_conn)
       14    0.000    0.000    1.017    0.073 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\urllib3\connection.py:356(connect)
  7698648    0.990    0.000    0.990    0.000 {built-in method __new__ of type object at 0x00007FFC31485C60}
2332/1166    0.007    0.000    0.966    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_interceptor.py:308(future)
2332/1166    0.008    0.000    0.948    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_interceptor.py:319(continuation)
      573    0.009    0.000    0.946    0.002 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\pymilvus\client\grpc_handler.py:335(describe_collection)
     1166    0.007    0.000    0.881    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_channel.py:1045(future)
     1166    0.007    0.000    0.827    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_channel.py:1410(create)
   404720    0.305    0.000    0.775    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\format.py:218(read_magic)
  7284960    0.686    0.000    0.686    0.000 {method 'span' of 're.Match' objects}
     1166    0.013    0.000    0.677    0.001 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\site-packages\grpc\_channel.py:1387(_run_channel_spin_thread)
  7284960    0.674    0.000    0.674    0.000 C:\Users\Pascal\AppData\Local\Programs\Python\Python39\lib\enum.py:683(value)
